CityName,CarbonFootprints,No,Domain,Component,English,Japanese,Type,領域,要素,要素OLD
Sapporo,1271.24,9,Mobility,PrivateCar,Sapporo,札幌市,City,移動,自家用車,自家用車
Sendai,911.64,9,Mobility,PrivateCar,Sendai,仙台市,City,移動,自家用車,自家用車
ShikokuReg.,1526.09,9,Mobility,PrivateCar,ShikokuReg.,四国,Region,移動,自家用車,自家用車
Shizuoka,912.63,9,Mobility,PrivateCar,Shizuoka,静岡市,City,移動,自家用車,自家用車
SmallB/Towns/Villages,1440.93,9,Mobility,PrivateCar,SmallB/Towns/Villages,小都市Ｂ・町村,Class,移動,自家用車,自家用車
SmallCitiesA,1260.67,9,Mobility,PrivateCar,SmallCitiesA,小都市Ａ,Class,移動,自家用車,自家用車
Takamatsu,1474.66,9,Mobility,PrivateCar,Takamatsu,高松市,City,移動,自家用車,自家用車
TohokuReg.,1354.12,9,Mobility,PrivateCar,TohokuReg.,東北,Region,移動,自家用車,自家用車
TokaiReg.,1263.07,9,Mobility,PrivateCar,TokaiReg.,東海,Region,移動,自家用車,自家用車
Tokushima,1829.74,9,Mobility,PrivateCar,Tokushima,徳島市,City,移動,自家用車,自家用車
Tokyo,347.84,9,Mobility,PrivateCar,Tokyo,東京都区部,City,移動,自家用車,自家用車
Tottori,1319.04,9,Mobility,PrivateCar,Tottori,鳥取市,City,移動,自家用車,自家用車
Toyama,1467,9,Mobility,PrivateCar,Toyama,富山市,City,移動,自家用車,自家用車
Tsu,1263.76,9,Mobility,PrivateCar,Tsu,津市,City,移動,自家用車,自家用車
Utsunomiya,1436.52,9,Mobility,PrivateCar,Utsunomiya,宇都宮市,City,移動,自家用車,自家用車
Wakayama,1233.84,9,Mobility,PrivateCar,Wakayama,和歌山市,City,移動,自家用車,自家用車
Yamagata,1530.7,9,Mobility,PrivateCar,Yamagata,山形市,City,移動,自家用車,自家用車
Yamaguchi,1850.05,9,Mobility,PrivateCar,Yamaguchi,山口市,City,移動,自家用車,自家用車
Yokohama,638.28,9,Mobility,PrivateCar,Yokohama,横浜市,City,移動,自家用車,自家用車
Akita,18.77,10,Mobility,CarSharing,Akita,秋田市,City,移動,レンタカー,レンタカー
Aomori,2.9,10,Mobility,CarSharing,Aomori,青森市,City,移動,レンタカー,レンタカー
Chiba,11.6,10,Mobility,CarSharing,Chiba,千葉市,City,移動,レンタカー,レンタカー
ChugokuReg.,6.44,10,Mobility,CarSharing,ChugokuReg.,中国,Region,移動,レンタカー,レンタカー
ChukyoMetro.,9.58,10,Mobility,CarSharing,ChukyoMetro.,中京大都市圏,Metropolitan,移動,レンタカー,レンタカー
Cities50000+pop.,12.14,10,Mobility,CarSharing,Cities50000+pop.,人口５万以上の市,Class,移動,レンタカー,レンタカー
Fukui,3.36,10,Mobility,CarSharing,Fukui,福井市,City,移動,レンタカー,レンタカー
Fukuoka,14.83,10,Mobility,CarSharing,Fukuoka,福岡市,City,移動,レンタカー,レンタカー
Fukushima,5.09,10,Mobility,CarSharing,Fukushima,福島市,City,移動,レンタカー,レンタカー
Gifu,3.44,10,Mobility,CarSharing,Gifu,岐阜市,City,移動,レンタカー,レンタカー
Hamamatsu,3.33,10,Mobility,CarSharing,Hamamatsu,浜松市,City,移動,レンタカー,レンタカー
Hiroshima,8.22,10,Mobility,CarSharing,Hiroshima,広島市,City,移動,レンタカー,レンタカー
HokkaidoReg.,4.02,10,Mobility,CarSharing,HokkaidoReg.,北海道,Region,移動,レンタカー,レンタカー
HokurikuReg.,16.02,10,Mobility,CarSharing,HokurikuReg.,北陸,Region,移動,レンタカー,レンタカー
Japan,11.66,10,Mobility,CarSharing,Japan,全国,Country,移動,レンタカー,レンタカー
Kagoshima,4.21,10,Mobility,CarSharing,Kagoshima,鹿児島市,City,移動,レンタカー,レンタカー
Kanazawa,4.51,10,Mobility,CarSharing,Kanazawa,金沢市,City,移動,レンタカー,レンタカー
KantoMetro.,16.24,10,Mobility,CarSharing,KantoMetro.,関東大都市圏,Metropolitan,移動,レンタカー,レンタカー
KantoReg.,16.47,10,Mobility,CarSharing,KantoReg.,関東,Region,移動,レンタカー,レンタカー
Kawasaki,61.16,10,Mobility,CarSharing,Kawasaki,川崎市,City,移動,レンタカー,レンタカー
KinkiMetro.,13.41,10,Mobility,CarSharing,KinkiMetro.,近畿大都市圏,Metropolitan,移動,レンタカー,レンタカー
KinkiReg.,13.24,10,Mobility,CarSharing,KinkiReg.,近畿,Region,移動,レンタカー,レンタカー
Kitakyushu,7.1,10,Mobility,CarSharing,Kitakyushu,北九州市,City,移動,レンタカー,レンタカー
Kitakyushu/FukuokaMetro.,9.1,10,Mobility,CarSharing,Kitakyushu/FukuokaMetro.,北九州・福岡大都市圏,Metropolitan,移動,レンタカー,レンタカー
Kobe,24.79,10,Mobility,CarSharing,Kobe,神戸市,City,移動,レンタカー,レンタカー
Kochi,8.25,10,Mobility,CarSharing,Kochi,高知市,City,移動,レンタカー,レンタカー
Kofu,4.13,10,Mobility,CarSharing,Kofu,甲府市,City,移動,レンタカー,レンタカー
Kumamoto,11.13,10,Mobility,CarSharing,Kumamoto,熊本市,City,移動,レンタカー,レンタカー
Kyoto,6.88,10,Mobility,CarSharing,Kyoto,京都市,City,移動,レンタカー,レンタカー
KyushuReg.,6.49,10,Mobility,CarSharing,KyushuReg.,九州,Region,移動,レンタカー,レンタカー
LargeCities,17.08,10,Mobility,CarSharing,LargeCities,大都市,Class,移動,レンタカー,レンタカー
Maebashi,3.73,10,Mobility,CarSharing,Maebashi,前橋市,City,移動,レンタカー,レンタカー
Matsue,4.01,10,Mobility,CarSharing,Matsue,松江市,City,移動,レンタカー,レンタカー
Matsuyama,7.56,10,Mobility,CarSharing,Matsuyama,松山市,City,移動,レンタカー,レンタカー
MiddleCities,9.84,10,Mobility,CarSharing,MiddleCities,中都市,Class,移動,レンタカー,レンタカー
Mito,28.63,10,Mobility,CarSharing,Mito,水戸市,City,移動,レンタカー,レンタカー
Miyazaki,4.83,10,Mobility,CarSharing,Miyazaki,宮崎市,City,移動,レンタカー,レンタカー
Morioka,2.91,10,Mobility,CarSharing,Morioka,盛岡市,City,移動,レンタカー,レンタカー
Nagano,3.83,10,Mobility,CarSharing,Nagano,長野市,City,移動,レンタカー,レンタカー
Nagasaki,2.56,10,Mobility,CarSharing,Nagasaki,長崎市,City,移動,レンタカー,レンタカー
Nagoya,10.34,10,Mobility,CarSharing,Nagoya,名古屋市,City,移動,レンタカー,レンタカー
Naha,7.85,10,Mobility,CarSharing,Naha,那覇市,City,移動,レンタカー,レンタカー
Nara,10.12,10,Mobility,CarSharing,Nara,奈良市,City,移動,レンタカー,レンタカー
Niigata,6.99,10,Mobility,CarSharing,Niigata,新潟市,City,移動,レンタカー,レンタカー
Oita,4.5,10,Mobility,CarSharing,Oita,大分市,City,移動,レンタカー,レンタカー
Okayama,3.16,10,Mobility,CarSharing,Okayama,岡山市,City,移動,レンタカー,レンタカー
OkinawaReg.,12.34,10,Mobility,CarSharing,OkinawaReg.,沖縄,Region,移動,レンタカー,レンタカー
Osaka,21.75,10,Mobility,CarSharing,Osaka,大阪市,City,移動,レンタカー,レンタカー
Otsu,4.15,10,Mobility,CarSharing,Otsu,大津市,City,移動,レンタカー,レンタカー
Saga,9.63,10,Mobility,CarSharing,Saga,佐賀市,City,移動,レンタカー,レンタカー
Sagamihara,8.32,10,Mobility,CarSharing,Sagamihara,相模原市,City,移動,レンタカー,レンタカー
Saitama,15.25,10,Mobility,CarSharing,Saitama,さいたま市,City,移動,レンタカー,レンタカー
Sakae,6.34,10,Mobility,CarSharing,Sakae,堺市,City,移動,レンタカー,レンタカー
Sapporo,6.42,10,Mobility,CarSharing,Sapporo,札幌市,City,移動,レンタカー,レンタカー
Sendai,15.09,10,Mobility,CarSharing,Sendai,仙台市,City,移動,レンタカー,レンタカー
ShikokuReg.,4.63,10,Mobility,CarSharing,ShikokuReg.,四国,Region,移動,レンタカー,レンタカー
Shizuoka,3.62,10,Mobility,CarSharing,Shizuoka,静岡市,City,移動,レンタカー,レンタカー
SmallB/Towns/Villages,8.91,10,Mobility,CarSharing,SmallB/Towns/Villages,小都市Ｂ・町村,Class,移動,レンタカー,レンタカー
SmallCitiesA,9.13,10,Mobility,CarSharing,SmallCitiesA,小都市Ａ,Class,移動,レンタカー,レンタカー
Takamatsu,4.43,10,Mobility,CarSharing,Takamatsu,高松市,City,移動,レンタカー,レンタカー
TohokuReg.,6.1,10,Mobility,CarSharing,TohokuReg.,東北,Region,移動,レンタカー,レンタカー
TokaiReg.,8.02,10,Mobility,CarSharing,TokaiReg.,東海,Region,移動,レンタカー,レンタカー
Tokushima,11.57,10,Mobility,CarSharing,Tokushima,徳島市,City,移動,レンタカー,レンタカー
Tokyo,24.5,10,Mobility,CarSharing,Tokyo,東京都区部,City,移動,レンタカー,レンタカー
Tottori,4.17,10,Mobility,CarSharing,Tottori,鳥取市,City,移動,レンタカー,レンタカー
Toyama,4.51,10,Mobility,CarSharing,Toyama,富山市,City,移動,レンタカー,レンタカー
Tsu,3.92,10,Mobility,CarSharing,Tsu,津市,City,移動,レンタカー,レンタカー
Utsunomiya,4.35,10,Mobility,CarSharing,Utsunomiya,宇都宮市,City,移動,レンタカー,レンタカー
Wakayama,4.52,10,Mobility,CarSharing,Wakayama,和歌山市,City,移動,レンタカー,レンタカー
Yamagata,2.43,10,Mobility,CarSharing,Yamagata,山形市,City,移動,レンタカー,レンタカー
Yamaguchi,31.79,10,Mobility,CarSharing,Yamaguchi,山口市,City,移動,レンタカー,レンタカー
Yokohama,11.62,10,Mobility,CarSharing,Yokohama,横浜市,City,移動,レンタカー,レンタカー
Akita,26.87,11,Mobility,Taxi,Akita,秋田市,City,移動,タクシー,タクシー
Aomori,15.3,11,Mobility,Taxi,Aomori,青森市,City,移動,タクシー,タクシー
Chiba,39.79,11,Mobility,Taxi,Chiba,千葉市,City,移動,タクシー,タクシー
ChugokuReg.,20.22,11,Mobility,Taxi,ChugokuReg.,中国,Region,移動,タクシー,タクシー
ChukyoMetro.,11.66,11,Mobility,Taxi,ChukyoMetro.,中京大都市圏,Metropolitan,移動,タクシー,タクシー
Cities50000+pop.,22.54,11,Mobility,Taxi,Cities50000+pop.,人口５万以上の市,Class,移動,タクシー,タクシー
Fukui,15.3,11,Mobility,Taxi,Fukui,福井市,City,移動,タクシー,タクシー
Fukuoka,36.84,11,Mobility,Taxi,Fukuoka,福岡市,City,移動,タクシー,タクシー
Fukushima,18.83,11,Mobility,Taxi,Fukushima,福島市,City,移動,タクシー,タクシー
Gifu,11.53,11,Mobility,Taxi,Gifu,岐阜市,City,移動,タクシー,タクシー
Hamamatsu,12.47,11,Mobility,Taxi,Hamamatsu,浜松市,City,移動,タクシー,タクシー
Hiroshima,39.75,11,Mobility,Taxi,Hiroshima,広島市,City,移動,タクシー,タクシー
HokkaidoReg.,22.77,11,Mobility,Taxi,HokkaidoReg.,北海道,Region,移動,タクシー,タクシー
HokurikuReg.,12.25,11,Mobility,Taxi,HokurikuReg.,北陸,Region,移動,タクシー,タクシー
Japan,20.69,11,Mobility,Taxi,Japan,全国,Country,移動,タクシー,タクシー
Kagoshima,21.59,11,Mobility,Taxi,Kagoshima,鹿児島市,City,移動,タクシー,タクシー
Kanazawa,18.56,11,Mobility,Taxi,Kanazawa,金沢市,City,移動,タクシー,タクシー
KantoMetro.,29.03,11,Mobility,Taxi,KantoMetro.,関東大都市圏,Metropolitan,移動,タクシー,タクシー
KantoReg.,25.27,11,Mobility,Taxi,KantoReg.,関東,Region,移動,タクシー,タクシー
Kawasaki,31.82,11,Mobility,Taxi,Kawasaki,川崎市,City,移動,タクシー,タクシー
KinkiMetro.,22.12,11,Mobility,Taxi,KinkiMetro.,近畿大都市圏,Metropolitan,移動,タクシー,タクシー
KinkiReg.,20.63,11,Mobility,Taxi,KinkiReg.,近畿,Region,移動,タクシー,タクシー
Kitakyushu,34.18,11,Mobility,Taxi,Kitakyushu,北九州市,City,移動,タクシー,タクシー
Kitakyushu/FukuokaMetro.,27.82,11,Mobility,Taxi,Kitakyushu/FukuokaMetro.,北九州・福岡大都市圏,Metropolitan,移動,タクシー,タクシー
Kobe,30.58,11,Mobility,Taxi,Kobe,神戸市,City,移動,タクシー,タクシー
Kochi,23.41,11,Mobility,Taxi,Kochi,高知市,City,移動,タクシー,タクシー
Kofu,17.94,11,Mobility,Taxi,Kofu,甲府市,City,移動,タクシー,タクシー
Kumamoto,24.22,11,Mobility,Taxi,Kumamoto,熊本市,City,移動,タクシー,タクシー
Kyoto,30.97,11,Mobility,Taxi,Kyoto,京都市,City,移動,タクシー,タクシー
KyushuReg.,21.99,11,Mobility,Taxi,KyushuReg.,九州,Region,移動,タクシー,タクシー
LargeCities,33.1,11,Mobility,Taxi,LargeCities,大都市,Class,移動,タクシー,タクシー
Maebashi,8.36,11,Mobility,Taxi,Maebashi,前橋市,City,移動,タクシー,タクシー
Matsue,19.48,11,Mobility,Taxi,Matsue,松江市,City,移動,タクシー,タクシー
Matsuyama,19.8,11,Mobility,Taxi,Matsuyama,松山市,City,移動,タクシー,タクシー
MiddleCities,19.02,11,Mobility,Taxi,MiddleCities,中都市,Class,移動,タクシー,タクシー
Mito,18.18,11,Mobility,Taxi,Mito,水戸市,City,移動,タクシー,タクシー
Miyazaki,21.32,11,Mobility,Taxi,Miyazaki,宮崎市,City,移動,タクシー,タクシー
Morioka,29.33,11,Mobility,Taxi,Morioka,盛岡市,City,移動,タクシー,タクシー
Nagano,17.97,11,Mobility,Taxi,Nagano,長野市,City,移動,タクシー,タクシー
Nagasaki,38.04,11,Mobility,Taxi,Nagasaki,長崎市,City,移動,タクシー,タクシー
Nagoya,19.1,11,Mobility,Taxi,Nagoya,名古屋市,City,移動,タクシー,タクシー
Naha,44.71,11,Mobility,Taxi,Naha,那覇市,City,移動,タクシー,タクシー
Nara,16.39,11,Mobility,Taxi,Nara,奈良市,City,移動,タクシー,タクシー
Niigata,13.19,11,Mobility,Taxi,Niigata,新潟市,City,移動,タクシー,タクシー
Oita,24.05,11,Mobility,Taxi,Oita,大分市,City,移動,タクシー,タクシー
Okayama,20.57,11,Mobility,Taxi,Okayama,岡山市,City,移動,タクシー,タクシー
OkinawaReg.,30.12,11,Mobility,Taxi,OkinawaReg.,沖縄,Region,移動,タクシー,タクシー
Osaka,25.02,11,Mobility,Taxi,Osaka,大阪市,City,移動,タクシー,タクシー
Otsu,24.92,11,Mobility,Taxi,Otsu,大津市,City,移動,タクシー,タクシー
Saga,24.65,11,Mobility,Taxi,Saga,佐賀市,City,移動,タクシー,タクシー
Sagamihara,27.11,11,Mobility,Taxi,Sagamihara,相模原市,City,移動,タクシー,タクシー
Saitama,20.9,11,Mobility,Taxi,Saitama,さいたま市,City,移動,タクシー,タクシー
Sakae,11.24,11,Mobility,Taxi,Sakae,堺市,City,移動,タクシー,タクシー
Sapporo,24.8,11,Mobility,Taxi,Sapporo,札幌市,City,移動,タクシー,タクシー
Sendai,41.37,11,Mobility,Taxi,Sendai,仙台市,City,移動,タクシー,タクシー
ShikokuReg.,14.91,11,Mobility,Taxi,ShikokuReg.,四国,Region,移動,タクシー,タクシー
Shizuoka,22.3,11,Mobility,Taxi,Shizuoka,静岡市,City,移動,タクシー,タクシー
SmallB/Towns/Villages,10.33,11,Mobility,Taxi,SmallB/Towns/Villages,小都市Ｂ・町村,Class,移動,タクシー,タクシー
SmallCitiesA,14.5,11,Mobility,Taxi,SmallCitiesA,小都市Ａ,Class,移動,タクシー,タクシー
Takamatsu,20.13,11,Mobility,Taxi,Takamatsu,高松市,City,移動,タクシー,タクシー
TohokuReg.,18.39,11,Mobility,Taxi,TohokuReg.,東北,Region,移動,タクシー,タクシー
TokaiReg.,11.29,11,Mobility,Taxi,TokaiReg.,東海,Region,移動,タクシー,タクシー
Tokushima,16.87,11,Mobility,Taxi,Tokushima,徳島市,City,移動,タクシー,タクシー
Tokyo,51.27,11,Mobility,Taxi,Tokyo,東京都区部,City,移動,タクシー,タクシー
Tottori,12.41,11,Mobility,Taxi,Tottori,鳥取市,City,移動,タクシー,タクシー
Toyama,14.12,11,Mobility,Taxi,Toyama,富山市,City,移動,タクシー,タクシー
Tsu,17.68,11,Mobility,Taxi,Tsu,津市,City,移動,タクシー,タクシー
Utsunomiya,15.1,11,Mobility,Taxi,Utsunomiya,宇都宮市,City,移動,タクシー,タクシー
Wakayama,19.53,11,Mobility,Taxi,Wakayama,和歌山市,City,移動,タクシー,タクシー
Yamagata,19.09,11,Mobility,Taxi,Yamagata,山形市,City,移動,タクシー,タクシー
Yamaguchi,13.9,11,Mobility,Taxi,Yamaguchi,山口市,City,移動,タクシー,タクシー
Yokohama,24.44,11,Mobility,Taxi,Yokohama,横浜市,City,移動,タクシー,タクシー
Akita,16.64,12,Mobility,Motorbike,Akita,秋田市,City,移動,バイク,バイク
Aomori,16.72,12,Mobility,Motorbike,Aomori,青森市,City,移動,バイク,バイク
Chiba,16.04,12,Mobility,Motorbike,Chiba,千葉市,City,移動,バイク,バイク
ChugokuReg.,21.34,12,Mobility,Motorbike,ChugokuReg.,中国,Region,移動,バイク,バイク
ChukyoMetro.,20.3,12,Mobility,Motorbike,ChukyoMetro.,中京大都市圏,Metropolitan,移動,バイク,バイク
Cities50000+pop.,16.92,12,Mobility,Motorbike,Cities50000+pop.,人口５万以上の市,Class,移動,バイク,バイク
Fukui,18.74,12,Mobility,Motorbike,Fukui,福井市,City,移動,バイク,バイク
Fukuoka,14.24,12,Mobility,Motorbike,Fukuoka,福岡市,City,移動,バイク,バイク
Fukushima,20.91,12,Mobility,Motorbike,Fukushima,福島市,City,移動,バイク,バイク
Gifu,20.11,12,Mobility,Motorbike,Gifu,岐阜市,City,移動,バイク,バイク
Hamamatsu,22.88,12,Mobility,Motorbike,Hamamatsu,浜松市,City,移動,バイク,バイク
Hiroshima,17.25,12,Mobility,Motorbike,Hiroshima,広島市,City,移動,バイク,バイク
HokkaidoReg.,20.64,12,Mobility,Motorbike,HokkaidoReg.,北海道,Region,移動,バイク,バイク
HokurikuReg.,26.11,12,Mobility,Motorbike,HokurikuReg.,北陸,Region,移動,バイク,バイク
Japan,17.97,12,Mobility,Motorbike,Japan,全国,Country,移動,バイク,バイク
Kagoshima,21.74,12,Mobility,Motorbike,Kagoshima,鹿児島市,City,移動,バイク,バイク
Kanazawa,24.9,12,Mobility,Motorbike,Kanazawa,金沢市,City,移動,バイク,バイク
KantoMetro.,12.2,12,Mobility,Motorbike,KantoMetro.,関東大都市圏,Metropolitan,移動,バイク,バイク
KantoReg.,15.24,12,Mobility,Motorbike,KantoReg.,関東,Region,移動,バイク,バイク
Kawasaki,13.36,12,Mobility,Motorbike,Kawasaki,川崎市,City,移動,バイク,バイク
KinkiMetro.,13.16,12,Mobility,Motorbike,KinkiMetro.,近畿大都市圏,Metropolitan,移動,バイク,バイク
KinkiReg.,14.08,12,Mobility,Motorbike,KinkiReg.,近畿,Region,移動,バイク,バイク
Kitakyushu,16.35,12,Mobility,Motorbike,Kitakyushu,北九州市,City,移動,バイク,バイク
Kitakyushu/FukuokaMetro.,16.85,12,Mobility,Motorbike,Kitakyushu/FukuokaMetro.,北九州・福岡大都市圏,Metropolitan,移動,バイク,バイク
Kobe,7.96,12,Mobility,Motorbike,Kobe,神戸市,City,移動,バイク,バイク
Kochi,21.17,12,Mobility,Motorbike,Kochi,高知市,City,移動,バイク,バイク
Kofu,22.06,12,Mobility,Motorbike,Kofu,甲府市,City,移動,バイク,バイク
Kumamoto,19.7,12,Mobility,Motorbike,Kumamoto,熊本市,City,移動,バイク,バイク
Kyoto,8.9,12,Mobility,Motorbike,Kyoto,京都市,City,移動,バイク,バイク
KyushuReg.,20.66,12,Mobility,Motorbike,KyushuReg.,九州,Region,移動,バイク,バイク
LargeCities,11.65,12,Mobility,Motorbike,LargeCities,大都市,Class,移動,バイク,バイク
Maebashi,24.79,12,Mobility,Motorbike,Maebashi,前橋市,City,移動,バイク,バイク
Matsue,24.13,12,Mobility,Motorbike,Matsue,松江市,City,移動,バイク,バイク
Matsuyama,16.41,12,Mobility,Motorbike,Matsuyama,松山市,City,移動,バイク,バイク
MiddleCities,18.97,12,Mobility,Motorbike,MiddleCities,中都市,Class,移動,バイク,バイク
Mito,30.16,12,Mobility,Motorbike,Mito,水戸市,City,移動,バイク,バイク
Miyazaki,23.82,12,Mobility,Motorbike,Miyazaki,宮崎市,City,移動,バイク,バイク
Morioka,14.03,12,Mobility,Motorbike,Morioka,盛岡市,City,移動,バイク,バイク
Nagano,22.95,12,Mobility,Motorbike,Nagano,長野市,City,移動,バイク,バイク
Nagasaki,14.8,12,Mobility,Motorbike,Nagasaki,長崎市,City,移動,バイク,バイク
Nagoya,12.57,12,Mobility,Motorbike,Nagoya,名古屋市,City,移動,バイク,バイク
Naha,13.89,12,Mobility,Motorbike,Naha,那覇市,City,移動,バイク,バイク
Nara,17.48,12,Mobility,Motorbike,Nara,奈良市,City,移動,バイク,バイク
Niigata,20.86,12,Mobility,Motorbike,Niigata,新潟市,City,移動,バイク,バイク
Oita,24.76,12,Mobility,Motorbike,Oita,大分市,City,移動,バイク,バイク
Okayama,19.33,12,Mobility,Motorbike,Okayama,岡山市,City,移動,バイク,バイク
OkinawaReg.,18.81,12,Mobility,Motorbike,OkinawaReg.,沖縄,Region,移動,バイク,バイク
Osaka,7.66,12,Mobility,Motorbike,Osaka,大阪市,City,移動,バイク,バイク
Otsu,17.64,12,Mobility,Motorbike,Otsu,大津市,City,移動,バイク,バイク
Saga,21.78,12,Mobility,Motorbike,Saga,佐賀市,City,移動,バイク,バイク
Sagamihara,17.02,12,Mobility,Motorbike,Sagamihara,相模原市,City,移動,バイク,バイク
Saitama,13.12,12,Mobility,Motorbike,Saitama,さいたま市,City,移動,バイク,バイク
Sakae,12.04,12,Mobility,Motorbike,Sakae,堺市,City,移動,バイク,バイク
Sapporo,20.68,12,Mobility,Motorbike,Sapporo,札幌市,City,移動,バイク,バイク
Sendai,13.26,12,Mobility,Motorbike,Sendai,仙台市,City,移動,バイク,バイク
ShikokuReg.,23,12,Mobility,Motorbike,ShikokuReg.,四国,Region,移動,バイク,バイク
Shizuoka,15.89,12,Mobility,Motorbike,Shizuoka,静岡市,City,移動,バイク,バイク
SmallB/Towns/Villages,23.75,12,Mobility,Motorbike,SmallB/Towns/Villages,小都市Ｂ・町村,Class,移動,バイク,バイク
SmallCitiesA,20.91,12,Mobility,Motorbike,SmallCitiesA,小都市Ａ,Class,移動,バイク,バイク
Takamatsu,22.08,12,Mobility,Motorbike,Takamatsu,高松市,City,移動,バイク,バイク
TohokuReg.,19.31,12,Mobility,Motorbike,TohokuReg.,東北,Region,移動,バイク,バイク
TokaiReg.,21.88,12,Mobility,Motorbike,TokaiReg.,東海,Region,移動,バイク,バイク
Tokushima,27.68,12,Mobility,Motorbike,Tokushima,徳島市,City,移動,バイク,バイク
Tokyo,6.47,12,Mobility,Motorbike,Tokyo,東京都区部,City,移動,バイク,バイク
Tottori,20.43,12,Mobility,Motorbike,Tottori,鳥取市,City,移動,バイク,バイク
Toyama,27.7,12,Mobility,Motorbike,Toyama,富山市,City,移動,バイク,バイク
Tsu,21.91,12,Mobility,Motorbike,Tsu,津市,City,移動,バイク,バイク
Utsunomiya,25.02,12,Mobility,Motorbike,Utsunomiya,宇都宮市,City,移動,バイク,バイク
Wakayama,20.07,12,Mobility,Motorbike,Wakayama,和歌山市,City,移動,バイク,バイク
Yamagata,21.94,12,Mobility,Motorbike,Yamagata,山形市,City,移動,バイク,バイク
Yamaguchi,28.9,12,Mobility,Motorbike,Yamaguchi,山口市,City,移動,バイク,バイク
Yokohama,11.72,12,Mobility,Motorbike,Yokohama,横浜市,City,移動,バイク,バイク
Akita,2.9,13,Mobility,Bicycle,Akita,秋田市,City,移動,自転車,自転車
Aomori,1.71,13,Mobility,Bicycle,Aomori,青森市,City,移動,自転車,自転車
Chiba,2.68,13,Mobility,Bicycle,Chiba,千葉市,City,移動,自転車,自転車
ChugokuReg.,5.31,13,Mobility,Bicycle,ChugokuReg.,中国,Region,移動,自転車,自転車
ChukyoMetro.,4.49,13,Mobility,Bicycle,ChukyoMetro.,中京大都市圏,Metropolitan,移動,自転車,自転車
Cities50000+pop.,4.77,13,Mobility,Bicycle,Cities50000+pop.,人口５万以上の市,Class,移動,自転車,自転車
Fukui,3.05,13,Mobility,Bicycle,Fukui,福井市,City,移動,自転車,自転車
Fukuoka,1.97,13,Mobility,Bicycle,Fukuoka,福岡市,City,移動,自転車,自転車
Fukushima,3.7,13,Mobility,Bicycle,Fukushima,福島市,City,移動,自転車,自転車
Gifu,2.81,13,Mobility,Bicycle,Gifu,岐阜市,City,移動,自転車,自転車
Hamamatsu,4.98,13,Mobility,Bicycle,Hamamatsu,浜松市,City,移動,自転車,自転車
Hiroshima,1.89,13,Mobility,Bicycle,Hiroshima,広島市,City,移動,自転車,自転車
HokkaidoReg.,2.01,13,Mobility,Bicycle,HokkaidoReg.,北海道,Region,移動,自転車,自転車
HokurikuReg.,3.33,13,Mobility,Bicycle,HokurikuReg.,北陸,Region,移動,自転車,自転車
Japan,4.41,13,Mobility,Bicycle,Japan,全国,Country,移動,自転車,自転車
Kagoshima,0.78,13,Mobility,Bicycle,Kagoshima,鹿児島市,City,移動,自転車,自転車
Kanazawa,4.74,13,Mobility,Bicycle,Kanazawa,金沢市,City,移動,自転車,自転車
KantoMetro.,5.54,13,Mobility,Bicycle,KantoMetro.,関東大都市圏,Metropolitan,移動,自転車,自転車
KantoReg.,5.09,13,Mobility,Bicycle,KantoReg.,関東,Region,移動,自転車,自転車
Kawasaki,3.77,13,Mobility,Bicycle,Kawasaki,川崎市,City,移動,自転車,自転車
KinkiMetro.,6.68,13,Mobility,Bicycle,KinkiMetro.,近畿大都市圏,Metropolitan,移動,自転車,自転車
KinkiReg.,6.36,13,Mobility,Bicycle,KinkiReg.,近畿,Region,移動,自転車,自転車
Kitakyushu,1.38,13,Mobility,Bicycle,Kitakyushu,北九州市,City,移動,自転車,自転車
Kitakyushu/FukuokaMetro.,3.65,13,Mobility,Bicycle,Kitakyushu/FukuokaMetro.,北九州・福岡大都市圏,Metropolitan,移動,自転車,自転車
Kobe,8.11,13,Mobility,Bicycle,Kobe,神戸市,City,移動,自転車,自転車
Kochi,3.03,13,Mobility,Bicycle,Kochi,高知市,City,移動,自転車,自転車
Kofu,11.46,13,Mobility,Bicycle,Kofu,甲府市,City,移動,自転車,自転車
Kumamoto,2.14,13,Mobility,Bicycle,Kumamoto,熊本市,City,移動,自転車,自転車
Kyoto,2.98,13,Mobility,Bicycle,Kyoto,京都市,City,移動,自転車,自転車
KyushuReg.,2.7,13,Mobility,Bicycle,KyushuReg.,九州,Region,移動,自転車,自転車
LargeCities,5.63,13,Mobility,Bicycle,LargeCities,大都市,Class,移動,自転車,自転車
Maebashi,8.81,13,Mobility,Bicycle,Maebashi,前橋市,City,移動,自転車,自転車
Matsue,2.41,13,Mobility,Bicycle,Matsue,松江市,City,移動,自転車,自転車
Matsuyama,3.73,13,Mobility,Bicycle,Matsuyama,松山市,City,移動,自転車,自転車
MiddleCities,4.23,13,Mobility,Bicycle,MiddleCities,中都市,Class,移動,自転車,自転車
Mito,2.91,13,Mobility,Bicycle,Mito,水戸市,City,移動,自転車,自転車
Miyazaki,3.41,13,Mobility,Bicycle,Miyazaki,宮崎市,City,移動,自転車,自転車
Morioka,3.07,13,Mobility,Bicycle,Morioka,盛岡市,City,移動,自転車,自転車
Nagano,6.6,13,Mobility,Bicycle,Nagano,長野市,City,移動,自転車,自転車
Nagasaki,0.21,13,Mobility,Bicycle,Nagasaki,長崎市,City,移動,自転車,自転車
